material_id,category,component_type,climate_zone,avg_summer_temp_c,solar_radiation_index,humidity_level,urban_density,density_kg_m3,thermal_conductivity_w_mk,carbon_kg_per_m2,thermal_mass_index,suitability_score,recommended_class,energy_saving_pct
MAT_001,Wood,Wall,EGY_CAIRO_URBAN,40,7.2,0.3,2.1,563.04,0.185,87.81,0.06995337187328778,0.1904513850971061,Lightweight,5.713541552913183
MAT_001,Wood,Roof,EGY_CAIRO_URBAN,40,7.2,0.3,2.1,563.04,0.185,87.81,0.06995337187328778,0.1904513850971061,Lightweight,5.713541552913183
MAT_001,Wood,Floor,EGY_CAIRO_URBAN,40,7.2,0.3,2.1,563.04,0.185,87.81,0.06995337187328778,0.1904513850971061,Lightweight,5.713541552913183
MAT_001,Wood,Window,EGY_CAIRO_URBAN,40,7.2,0.3,2.1,563.04,0.185,87.81,0.06995337187328778,0.1904513850971061,Lightweight,5.713541552913183
MAT_001,Wood,Wall,EGY_CAIRO_DESERT_EDGE,41,7.8,0.18,2.8,563.04,0.185,87.81,0.06995337187328778,0.19868749411198658,Lightweight,5.9606248233595975
MAT_001,Wood,Roof,EGY_CAIRO_DESERT_EDGE,41,7.8,0.18,2.8,563.04,0.185,87.81,0.06995337187328778,0.19868749411198658,Lightweight,5.9606248233595975
MAT_001,Wood,Floor,EGY_CAIRO_DESERT_EDGE,41,7.8,0.18,2.8,563.04,0.185,87.81,0.06995337187328778,0.19868749411198658,Lightweight,5.9606248233595975
MAT_001,Wood,Window,EGY_CAIRO_DESERT_EDGE,41,7.8,0.18,2.8,563.04,0.185,87.81,0.06995337187328778,0.19868749411198658,Lightweight,5.9606248233595975
MAT_001,Wood,Wall,EGY_UPPER,43,8.1,0.12,3.2,563.04,0.185,87.81,0.06995337187328778,0.2028055486194268,Lightweight,6.0841664585828035
MAT_001,Wood,Roof,EGY_UPPER,43,8.1,0.12,3.2,563.04,0.185,87.81,0.06995337187328778,0.2028055486194268,Lightweight,6.0841664585828035
MAT_001,Wood,Floor,EGY_UPPER,43,8.1,0.12,3.2,563.04,0.185,87.81,0.06995337187328778,0.2028055486194268,Lightweight,6.0841664585828035
MAT_001,Wood,Window,EGY_UPPER,43,8.1,0.12,3.2,563.04,0.185,87.81,0.06995337187328778,0.2028055486194268,Lightweight,6.0841664585828035
MAT_001,Wood,Wall,EGY_NORTH_COAST,33,5.9,0.65,4.5,563.04,0.185,87.81,0.06995337187328778,0.17180077591485868,Lightweight,5.15402327744576
MAT_001,Wood,Roof,EGY_NORTH_COAST,33,5.9,0.65,4.5,563.04,0.185,87.81,0.06995337187328778,0.17180077591485868,Lightweight,5.15402327744576
MAT_001,Wood,Floor,EGY_NORTH_COAST,33,5.9,0.65,4.5,563.04,0.185,87.81,0.06995337187328778,0.17180077591485868,Lightweight,5.15402327744576
MAT_001,Wood,Window,EGY_NORTH_COAST,33,5.9,0.65,4.5,563.04,0.185,87.81,0.06995337187328778,0.17180077591485868,Lightweight,5.15402327744576
MAT_002,Wood,Wall,EGY_CAIRO_URBAN,40,7.2,0.3,2.1,740.3,0.125,61.77,0.09197655796709815,0.23736655941365298,Lightweight,7.120996782409589
MAT_002,Wood,Roof,EGY_CAIRO_URBAN,40,7.2,0.3,2.1,740.3,0.125,61.77,0.09197655796709815,0.23736655941365298,Lightweight,7.120996782409589
MAT_002,Wood,Floor,EGY_CAIRO_URBAN,40,7.2,0.3,2.1,740.3,0.125,61.77,0.09197655796709815,0.23736655941365298,Lightweight,7.120996782409589
MAT_002,Wood,Window,EGY_CAIRO_URBAN,40,7.2,0.3,2.1,740.3,0.125,61.77,0.09197655796709815,0.23736655941365298,Lightweight,7.120996782409589
MAT_002,Wood,Wall,EGY_CAIRO_DESERT_EDGE,41,7.8,0.18,2.8,740.3,0.125,61.77,0.09197655796709815,0.24560266842853343,Lightweight,7.368080052856003
MAT_002,Wood,Roof,EGY_CAIRO_DESERT_EDGE,41,7.8,0.18,2.8,740.3,0.125,61.77,0.09197655796709815,0.24560266842853343,Lightweight,7.368080052856003
MAT_002,Wood,Floor,EGY_CAIRO_DESERT_EDGE,41,7.8,0.18,2.8,740.3,0.125,61.77,0.09197655796709815,0.24560266842853343,Lightweight,7.368080052856003
MAT_002,Wood,Window,EGY_CAIRO_DESERT_EDGE,41,7.8,0.18,2.8,740.3,0.125,61.77,0.09197655796709815,0.24560266842853343,Lightweight,7.368080052856003
MAT_002,Wood,Wall,EGY_UPPER,43,8.1,0.12,3.2,740.3,0.125,61.77,0.09197655796709815,0.24972072293597364,Lightweight,7.491621688079209
MAT_002,Wood,Roof,EGY_UPPER,43,8.1,0.12,3.2,740.3,0.125,61.77,0.09197655796709815,0.24972072293597364,Lightweight,7.491621688079209
MAT_002,Wood,Floor,EGY_UPPER,43,8.1,0.12,3.2,740.3,0.125,61.77,0.09197655796709815,0.24972072293597364,Lightweight,7.491621688079209
MAT_002,Wood,Window,EGY_UPPER,43,8.1,0.12,3.2,740.3,0.125,61.77,0.09197655796709815,0.24972072293597364,Lightweight,7.491621688079209
MAT_002,Wood,Wall,EGY_NORTH_COAST,33,5.9,0.65,4.5,740.3,0.125,61.77,0.09197655796709815,0.21871595023140555,Lightweight,6.561478506942167
MAT_002,Wood,Roof,EGY_NORTH_COAST,33,5.9,0.65,4.5,740.3,0.125,61.77,0.09197655796709815,0.21871595023140555,Lightweight,6.561478506942167
MAT_002,Wood,Floor,EGY_NORTH_COAST,33,5.9,0.65,4.5,740.3,0.125,61.77,0.09197655796709815,0.21871595023140555,Lightweight,6.561478506942167
MAT_002,Wood,Window,EGY_NORTH_COAST,33,5.9,0.65,4.5,740.3,0.125,61.77,0.09197655796709815,0.21871595023140555,Lightweight,6.561478506942167
MAT_003,Glass,Wall,EGY_CAIRO_URBAN,40,7.2,0.3,2.1,2586.44,0.803,369.71,0.3213451959859805,0.12121820633009203,Lightweight,3.636546189902761
MAT_003,Glass,Roof,EGY_CAIRO_URBAN,40,7.2,0.3,2.1,2586.44,0.803,369.71,0.3213451959859805,0.12121820633009203,Lightweight,3.636546189902761
MAT_003,Glass,Floor,EGY_CAIRO_URBAN,40,7.2,0.3,2.1,2586.44,0.803,369.71,0.3213451959859805,0.12121820633009203,Lightweight,3.636546189902761
MAT_003,Glass,Window,EGY_CAIRO_URBAN,40,7.2,0.3,2.1,2586.44,0.803,369.71,0.3213451959859805,0.12121820633009203,Lightweight,3.636546189902761
MAT_003,Glass,Wall,EGY_CAIRO_DESERT_EDGE,41,7.8,0.18,2.8,2586.44,0.803,369.71,0.3213451959859805,0.1294543153449725,Lightweight,3.883629460349175
MAT_003,Glass,Roof,EGY_CAIRO_DESERT_EDGE,41,7.8,0.18,2.8,2586.44,0.803,369.71,0.3213451959859805,0.1294543153449725,Lightweight,3.883629460349175
MAT_003,Glass,Floor,EGY_CAIRO_DESERT_EDGE,41,7.8,0.18,2.8,2586.44,0.803,369.71,0.3213451959859805,0.1294543153449725,Lightweight,3.883629460349175
MAT_003,Glass,Window,EGY_CAIRO_DESERT_EDGE,41,7.8,0.18,2.8,2586.44,0.803,369.71,0.3213451959859805,0.1294543153449725,Lightweight,3.883629460349175
MAT_003,Glass,Wall,EGY_UPPER,43,8.1,0.12,3.2,2586.44,0.803,369.71,0.3213451959859805,0.13357236985241275,Lightweight,4.0071710955723825
MAT_003,Glass,Roof,EGY_UPPER,43,8.1,0.12,3.2,2586.44,0.803,369.71,0.3213451959859805,0.13357236985241275,Lightweight,4.0071710955723825
MAT_003,Glass,Floor,EGY_UPPER,43,8.1,0.12,3.2,2586.44,0.803,369.71,0.3213451959859805,0.13357236985241275,Lightweight,4.0071710955723825
MAT_003,Glass,Window,EGY_UPPER,43,8.1,0.12,3.2,2586.44,0.803,369.71,0.3213451959859805,0.13357236985241275,Lightweight,4.0071710955723825
MAT_003,Glass,Wall,EGY_NORTH_COAST,33,5.9,0.65,4.5,2586.44,0.803,369.71,0.3213451959859805,0.1025675971478446,Lightweight,3.077027914435338
MAT_003,Glass,Roof,EGY_NORTH_COAST,33,5.9,0.65,4.5,2586.44,0.803,369.71,0.3213451959859805,0.1025675971478446,Lightweight,3.077027914435338
MAT_003,Glass,Floor,EGY_NORTH_COAST,33,5.9,0.65,4.5,2586.44,0.803,369.71,0.3213451959859805,0.1025675971478446,Lightweight,3.077027914435338
MAT_003,Glass,Window,EGY_NORTH_COAST,33,5.9,0.65,4.5,2586.44,0.803,369.71,0.3213451959859805,0.1025675971478446,Lightweight,3.077027914435338
MAT_004,Wood,Wall,EGY_CAIRO_URBAN,40,7.2,0.3,2.1,492.21,0.121,66.88,0.06115329136429202,0.24145779880119564,Lightweight,7.2437339640358696
MAT_004,Wood,Roof,EGY_CAIRO_URBAN,40,7.2,0.3,2.1,492.21,0.121,66.88,0.06115329136429202,0.24145779880119564,Lightweight,7.2437339640358696
MAT_004,Wood,Floor,EGY_CAIRO_URBAN,40,7.2,0.3,2.1,492.21,0.121,66.88,0.06115329136429202,0.24145779880119564,Lightweight,7.2437339640358696
MAT_004,Wood,Window,EGY_CAIRO_URBAN,40,7.2,0.3,2.1,492.21,0.121,66.88,0.06115329136429202,0.24145779880119564,Lightweight,7.2437339640358696
MAT_004,Wood,Wall,EGY_CAIRO_DESERT_EDGE,41,7.8,0.18,2.8,492.21,0.121,66.88,0.06115329136429202,0.2496939078160761,Lightweight,7.490817234482282
MAT_004,Wood,Roof,EGY_CAIRO_DESERT_EDGE,41,7.8,0.18,2.8,492.21,0.121,66.88,0.06115329136429202,0.2496939078160761,Lightweight,7.490817234482282
MAT_004,Wood,Floor,EGY_CAIRO_DESERT_EDGE,41,7.8,0.18,2.8,492.21,0.121,66.88,0.06115329136429202,0.2496939078160761,Lightweight,7.490817234482282
MAT_004,Wood,Window,EGY_CAIRO_DESERT_EDGE,41,7.8,0.18,2.8,492.21,0.121,66.88,0.06115329136429202,0.2496939078160761,Lightweight,7.490817234482282
MAT_004,Wood,Wall,EGY_UPPER,43,8.1,0.12,3.2,492.21,0.121,66.88,0.06115329136429202,0.25381196232351627,Lightweight,7.614358869705488
MAT_004,Wood,Roof,EGY_UPPER,43,8.1,0.12,3.2,492.21,0.121,66.88,0.06115329136429202,0.25381196232351627,Lightweight,7.614358869705488
MAT_004,Wood,Floor,EGY_UPPER,43,8.1,0.12,3.2,492.21,0.121,66.88,0.06115329136429202,0.25381196232351627,Lightweight,7.614358869705488
MAT_004,Wood,Window,EGY_UPPER,43,8.1,0.12,3.2,492.21,0.121,66.88,0.06115329136429202,0.25381196232351627,Lightweight,7.614358869705488
MAT_004,Wood,Wall,EGY_NORTH_COAST,33,5.9,0.65,4.5,492.21,0.121,66.88,0.06115329136429202,0.2228071896189482,Lightweight,6.684215688568446
MAT_004,Wood,Roof,EGY_NORTH_COAST,33,5.9,0.65,4.5,492.21,0.121,66.88,0.06115329136429202,0.2228071896189482,Lightweight,6.684215688568446
